"Season","Team","Type","G","Min","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OR","DR","Reb","Ast","TO","Stl","Blk","Pts"
"1996-97","LAL","Reg",71,0,2.5,5.9,41.7,0.7,1.9,37.5,1.9,2.3,81.9,0.7,1.2,1.9,1.3,1.6,0.7,0.3,7.6
"1997-98","LAL","Reg",79,0,4.9,11.6,42.8,0.9,2.8,34.1,4.6,5.8,79.4,1,2.1,3.1,2.5,2,0.9,0.5,15.4
"1998-99","LAL","Reg",50,0,7.2,15.6,46.5,0.5,2,26.7,4.9,5.8,83.9,1.1,4.2,5.3,3.8,3.1,1.4,1,19.9
"1999-00","LAL","Reg",66,0,8.4,17.9,46.8,0.7,2.2,31.9,5,6.1,82.1,1.6,4.7,6.3,4.9,2.8,1.6,0.9,22.5
"2000-01","LAL","Reg",68,0,10.3,22.2,46.4,0.9,2.9,30.5,7,8.2,85.3,1.5,4.3,5.9,5,3.2,1.7,0.6,28.5
"2001-02","LAL","Reg",80,0,9.4,20,46.9,0.4,1.7,25,6.1,7.4,82.9,1.4,4.1,5.5,5.5,2.8,1.5,0.4,25.2
"2002-03","LAL","Reg",82,0,10.6,23.5,45.1,1.5,4,38.3,7.3,8.7,84.3,1.3,5.6,6.9,5.9,3.5,2.2,0.8,30
"2003-04","LAL","Reg",65,0,7.9,18.1,43.8,1.1,3.3,32.7,7,8.2,85.2,1.6,3.9,5.5,5.1,2.6,1.7,0.4,24
"2004-05","LAL","Reg",66,0,8.7,20.1,43.3,2,5.9,33.9,8.2,10.1,81.6,1.4,4.5,5.9,6,4.1,1.3,0.8,27.6
"2005-06","LAL","Reg",80,40.95,12.2,27.2,45,2.3,6.5,34.7,8.7,10.2,85,0.9,4.4,5.3,4.5,3.1,1.8,0.4,35.4
"2006-07","LAL","Reg",77,40.7833333333333,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10,86.8,1,4.7,5.7,5.4,3.3,1.4,0.5,31.6
"2007-08","LAL","Reg",82,38.9333333333333,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9,84,1.1,5.2,6.3,5.4,3.1,1.8,0.5,28.3
"2008-09","LAL","Reg",82,36.1,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,2.6,1.5,0.5,26.8
"2009-10","LAL","Reg",73,38.8333333333333,9.8,21.5,45.6,1.4,4.1,32.9,6,7.4,81.1,1.1,4.3,5.4,5,3.2,1.5,0.3,27
"2010-11","LAL","Reg",82,33.8833333333333,9,20,45.1,1.4,4.3,32.3,5.9,7.1,82.8,1,4.1,5.1,4.7,3,1.2,0.1,25.3
"2011-12","LAL","Reg",58,38.4833333333333,9.9,23,43,1.5,4.9,30.3,6.6,7.8,84.5,1.1,4.3,5.4,4.6,3.5,1.2,0.3,27.9
"2012-13","LAL","Reg",78,38.6166666666667,9.5,20.4,46.3,1.7,5.2,32.4,6.7,8,83.9,0.8,4.7,5.6,6,3.7,1.4,0.3,27.3
"2013-14","LAL","Reg",6,29.55,5.2,12.2,42.5,0.5,2.7,18.8,3,3.5,85.7,0.3,4,4.3,6.3,5.7,1.2,0.2,13.8
"2014-15","LAL","Reg",35,34.4833333333333,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,0.7,4.9,5.7,5.6,3.7,1.3,0.2,22.3
"2015-16","LAL","Reg",66,28.2333333333333,6,16.9,35.8,2,7.1,28.5,3.5,4.3,82.6,0.6,3.1,3.7,2.8,2,0.9,0.2,17.6
