"farm_name","total_cup_points","aroma","aftertaste"
"-",84,7.67,7.67
"1",76.17,7.33,6.5
"200 farms",67.92,6.75,6.42
"2000 farmers",72.33,6.92,7.08
"2000 farms",80.75,7.42,7.42
"a shu she coffee <U+963F><U+675F><U+793E><U+5496><U+5561><U+838A><U+5712>",80.08,7.25,7.25
"acacia hills",81.58,7.42,7.33
"ada farm",84.67,7.75,7.75
"agropecuaria quiagral",83.67,7.67,7.5
"agua caliente",83.17,7.5,7.33
"agua de la mariposa",76.17,7.42,6.83
"água limpa",83.25,7.75,7.5
"alicia's farm",80.42,7.25,7.25
"alishan zou zhu yuan <U+963F><U+91CC><U+5C71><U+9112><U+7BC9><U+5712>",83.08,7.75,7.5
"amkeni",82.5,7.75,7.42
"ampcg",81.17,7.58,7.17
"ano family",83.5,7.75,7.58
"aolme",88.67,8.25,8.5
"apollo co., ltd.",82.92,7.67,7.17
"apollo estate",82.83,7.25,7.5
"aprocafi",84.08,7.58,7.67
"arianna farms",87.92,8.33,8.08
"aricha coop",85.08,8.42,7.42
"arroyo triste, arroyo triste, san jose vista hermosa",81.75,7.42,7.33
"asefa dukamo coffee plantation",84.17,7.5,7.58
"asociación aldea global jinotega",79.83,6.83,7.17
"asoperc",85.5,8,7.67
"bacofa",81.33,7.08,7.42
"bai he lin coffee <U+767D><U+9DB4><U+6797><U+5496><U+5561><U+838A><U+5712>",80.92,7.25,7.08
"baijiada coffee farm<U+4F70><U+52A0><U+9054><U+5496><U+5561><U+838A><U+5712>",79.75,7.08,7.25
"baishencun coffee farm<U+767E><U+52DD><U+6751><U+5496><U+5561><U+838A><U+5712>",79.25,7.08,6.83
"baishengcun coffee <U+767E><U+52DD><U+6751><U+5496><U+5561><U+838A><U+5712>",81.58,7.42,7.25
"barranca de las flores",80.5,7.5,7
"beneficio el torreon",83.17,7.58,7.33
"bethel",82.25,7.58,7.42
"bi yun si shi yi <U+78A7><U+4E91><U+56DB><U+5341><U+4E00><U+5496><U+5561><U+574A>",80.92,7.42,7.25
"blend",84.58,7.83,7.83
"blue lake",82.17,7.42,7.5
"bola de oro",82.08,7.67,7.25
"bsr",82,7.33,7.33
"buginyanya",85.5,8.33,7.67
"bugisu shamba",82.67,7.67,7.33
"bulago & buginyanya",83.42,7.58,7.33
"bulamburi coffee farmers",83.58,7.67,7.42
"burka coffee estate",82.83,7.67,7.33
"burka coffee estates",80.58,7.25,7.08
"bushenyi",80.92,7.33,7.5
"cachoeira da grama farm",83.42,7.33,7.75
"café citrus",82.33,7.58,7.25
"café do paraíso",82,7.33,7.42
"cafetal",83.92,7.83,7.58
"cafetal el equimite, rancho agroecológico",82.42,7.42,7.33
"cafetal santa maria",82.33,8,7.33
"cafetal sinai",81.08,7.33,7.33
"cafetalera aquiares",81.58,7.58,7.5
"cafetales santa matilde",81.25,7.08,7.33
"caltuchoco",82.5,7.67,7.33
"campo das flores",83.17,7.75,7.58
"cañada fria",82.42,7.58,7.17
"canoa manzanillo",81.5,7.33,7.33
"capoeirinha",82.67,7.5,7.25
"carrillo cooperativa",82.42,7.42,7.17
"casa blanca",79.5,7.25,7
"case noyale ltd",80.5,7.25,7.17
"castelhana farm",80.75,7.17,7.08
"caxambu",82.25,7.67,7.42
"cerca de los angeles",78.5,7.25,7
"cerro bueno",84.75,7.83,8
"chang yu liang <U+5F35><U+7389><U+826F>",84.08,7.58,7.67
"chapultepec",84.17,7.58,7.58
"chebonet (23) women coffee",86.83,8.42,8.17
"chen lin",83.17,7.5,7.33
"chesiyo farmer group",85.42,8.08,7.83
"chikali",82,7.5,7.33
"chilcuatla",82.25,7.33,7.42
"chimpumba",81.42,7.58,7.33
"chinongo",81.5,7.67,6.92
"chiquimulja / alpha cafe / senfro",80.67,7,7.33
"cianorte",81.83,7.33,7.25
"cipresal",82.42,7.5,7.42
"club green",82,7.42,7.25
"cnra station of divo",79.33,7.42,6.83
"co-op #12",86.17,7.83,7.83
"cofradia",78.58,7.92,7.58
"comonyaj noptic s de ss",79.75,7.58,6.92
"comunidad de canoas",82.25,7.42,7.42
"comunidad la yerbabuena",83.92,7.75,7.83
"conquista / morito",78.33,7.17,6.17
"consolapa",79.67,6.92,7.17
"contact | sidacoop@ethionet.net",84.67,7.42,7.75
"coop. hoja blanca - fedecocagua",85.17,8.25,7.67
"coopellanobonito",83.25,7.83,7.42
"coopetarrazú",84.67,8.17,7.83
"copalita",80.42,6.92,7.08
"corral del diablo lote 1",82.42,7.5,7.33
"corta pico",83.25,7.67,7.42
"cortapico",80.25,7.25,7
"cre-leg l-4",79.42,7,6.83
"cruz verde",81.33,7.33,7.17
"darmawi",80.67,7.58,7
"delfina farm",80.33,7.25,7
"doe kwin",80,7.17,7
"doi chaang coffee original co.,ltd",83.83,7.75,7.58
"doi tung development project",80.92,7.67,7.33
"dongshan gaoyuan village chief manor coffee tainan, taiwan <U+53F0><U+7063><U+53F0><U+5357><U+6771><U+5C71><U+9AD8><U+539F><U+6751><U+9577><U+838A><U+5712><U+5496><U+5561>",77.67,7.17,6.58
"dozen small farmer",81.83,7.42,7.42
"dragon coffee <U+9F8D><U+5496><U+5561>",83.58,7.75,7.75
"dragon <U+9F8D><U+5496><U+5561>",84.67,8,7.75
"drima zede",87.25,8.17,8
"ecc",83.33,7.75,7.5
"echo coffee",87.25,8.42,8.08
"ecobio colombia",86,7.75,7.83
"el aguacate",79.25,7,6.92
"el águila",87.58,8,8.58
"el barbaro",82.83,7.33,7.67
"el brigadum - la coronela",82.17,7.5,7.33
"el carrizo",80.17,7.58,7.33
"el centenario",68.33,7.08,6.25
"el cerron",83.17,7.5,7.5
"el chile",79.17,7.25,6.75
"el delirio",79.17,7.17,6.92
"el deseo",81.83,7.33,7.25
"el desmoronado",81.08,7.42,7.25
"el desmoronado, talpan de allende jalisco",80.67,7.25,7.17
"el encanto",79.33,7,6.83
"el encinal",79.67,7.33,7
"el faro",82,7.33,7.33
"el filo",87.92,8.25,8.17
"el guayabo",80.5,7.33,7.08
"el injerto s.a.",81.25,7.33,7.17
"el jabali",82.92,8,7.67
"el limon",84.17,7.83,7.5
"el limón",74.92,7.08,6.58
"el majahual",84.17,8.42,7.5
"el mirador",83.17,7.75,7.42
"el morito",82.33,7.58,7.5
"el nanchi",82.17,7.5,7
"el naranjo",78.42,7.58,7
"el nogal, la higuera, los laureles",84.67,7.83,7.67
"el papaturro",83.83,7.58,7.33
"el patalillo",81.83,7.67,7.5
"el pino",83.33,7.67,7.58
"el regadito",77.92,7.42,7
"el regalito",82.92,7.58,7.33
"el rodeo",87.25,8,8.08
"el romance azul",81.5,7.5,7.25
"el sacramento",77.83,7,6.67
"el sauce",79,7.5,6.92
"el suspiro",84.92,7.75,7.75
"el tabaco",80.08,7.33,7.25
"el tesoro",78.75,7.25,7.17
"el vergel",79.75,7.33,7
"elida estate",80.75,7.25,7.17
"erussi farmers group",83.75,8,7.58
"estate la patricia",81.83,7.25,7.5
"exclusive coffees s.a.",86.33,8.17,8
"exportadora café california",81.17,7.75,7.08
"fahem coffee plantation",88.08,8.17,8.25
"family farm",82,7.67,7.33
"fazenda baipendi",84.33,8,7.5
"fazenda capoeirnha",83.92,7.5,7.58
"fazenda cazengo",77.17,7.33,7.17
"fazenda chamusca",82.58,7.58,7.33
"fazenda do lobo",83.17,7.75,7.58
"fazenda do sertao",82.5,7.67,7.33
"fazenda grota funda",84.92,8,7.75
"fazenda jericó",83.58,7.83,7.5
"fazenda kaquend",86.92,8.5,8
"fazenda pantano",82.92,7.08,7.5
"fazenda recreio",86.42,8.5,8
"fazenda rio brilhante",81.42,7.33,7.5
"fazenda rio verde",82.42,7.25,7.25
"fazenda sacramento",81.33,7.25,7.33
"fazenda santo antonio",83,7.67,7.67
"fazenda são josé mirante",81.08,7.58,7.5
"fazenda são pedro",82.33,7.33,7.5
"fazenda são sebastião",81.17,7.42,7.25
"fazenda serra de três barras",85.42,8,8
"fazenda serra negra",82.42,7.58,7.33
"fazenda vista alegre",84.58,8.5,7.5
"fazendas klem ltda",82.25,7.58,7.25
"fiech (mixed producers)",82.92,7.75,7.42
