"is_canceled","lead_time","previous_cancellations","is_repeated_guest","average_daily_rate"
"1",1,1,1,98.1
"1",19,0,0,70.17
"0",9,0,0,193.4
"0",110,0,0,36.24
"0",329,0,0,89.1
"0",212,0,0,89.75
"0",14,0,1,43
"0",58,0,0,85
"1",88,0,0,117
"1",373,0,0,90
"0",36,0,0,77.99
"1",60,0,0,116.1
"0",5,0,0,88
"0",1,0,0,107.67
"0",1,0,0,106
"0",3,0,0,110
"0",44,0,0,131.4
"1",57,0,0,116.45
"1",34,1,0,90
"0",81,0,0,118.02
"0",6,0,0,49.59
"0",59,0,0,90
"1",292,1,0,62
"0",26,0,0,63.17
"1",127,0,0,159.5
"1",37,0,0,145.8
"1",83,0,0,98
"0",14,0,0,75
"0",4,0,0,45
"0",31,0,0,43.2
"1",34,0,0,62
"1",87,0,0,180
"0",77,0,0,90.95
"0",9,0,0,67
"0",46,0,0,129.6
"0",137,0,0,93
"0",2,0,0,58.5
"0",76,0,0,304
"0",110,0,0,133
"1",274,1,0,62
"1",178,0,0,103.69
"1",10,0,0,115
"0",0,0,0,56.1
"1",277,1,0,48.5
"1",215,0,0,110
"0",82,0,0,147
"1",159,0,0,97
"0",180,0,0,100
"1",17,0,0,81
"0",86,0,0,52.56
"0",19,0,0,60
"0",50,0,0,145.8
"1",69,0,0,120
"0",4,0,0,99.5
"0",0,0,1,178.5
"0",0,0,0,80
"1",312,1,0,60
"0",94,0,0,44
"0",148,0,0,119.7
"1",517,0,0,62.8
"1",223,0,0,133.2
"0",211,0,0,77.03
"1",248,0,0,106
"0",76,0,0,101.8
"1",231,0,0,122.4
"0",6,0,0,94.5
"0",38,0,0,35
"0",273,0,0,109
"1",10,0,0,71.19
"1",320,0,0,89.1
"0",8,0,0,79.4
"0",287,0,0,37
"0",74,0,0,99.45
"0",155,0,0,170
"0",28,0,0,32.31
"0",10,0,0,107
"0",73,0,0,43.2
"1",67,0,0,76.5
"0",10,0,0,150.2
"1",128,0,0,64
"0",161,0,0,82.35
"1",9,0,0,158
"0",24,0,0,230
"0",26,0,0,155.5
"0",118,0,0,110
"0",176,0,0,151.4
"1",6,0,0,72
"0",25,0,0,80.85
"1",46,0,0,179
"1",188,0,0,175.5
"1",248,0,0,125.1
"0",197,0,0,72.25
"0",52,0,0,57
"0",106,0,0,100.8
"0",22,0,0,163.5
"0",32,0,0,59
"0",86,0,0,100
"1",272,1,0,62
"0",423,0,0,95.5
"1",77,0,0,214
"0",177,0,0,104.4
"1",330,1,0,62
"0",143,0,0,78.6
"0",23,0,0,29
"1",56,0,0,120
