"vaccines_are_safe","age","party","education","books","trump_approval","climate_change"
"Somewhat Disagree",64,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",56,"Democrat","High school",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",63,"Independent","Some college",0,"Somewhat Approve","Real but not Caused by People"
"Somewhat Disagree",48,"Republican","High school",1,"Strongly Approve","Not Real At All"
"Strongly Agree",32,"Democrat","Some college",30,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",64,"Democrat","Some college",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",61,"Independent","College degree",0,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",64,"Republican","College degree",40,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",64,"Republican","High school",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",68,"Democrat","Some college",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",63,"Democrat","College degree",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",44,"Independent","High school",2,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",57,"Democrat","College degree",12,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",62,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Republican","College degree",6,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",46,"Independent","Graduate degree",24,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Democrat","High school",40,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",40,"Republican","College degree",15,"Somewhat Approve","Not Real At All"
"Strongly Agree",48,"Independent","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Democrat","College degree",4,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",62,"Republican","College degree",0,"Strongly Approve","Not Real At All"
"Somewhat Agree",50,"Democrat","High school",6,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Disagree",59,"Democrat","Some college",25,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",30,"Independent","College degree",5,"Strongly Approve","Not Real At All"
"Somewhat Agree",60,"Democrat","Some college",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",70,"Democrat","College degree",6,"Strongly disapprove","Real but not Caused by People"
"Somewhat Agree",19,"Independent","High school",3,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",61,"Independent","College degree",0,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",57,"Democrat","High school",0,"Somewhat disapprove","Not Real At All"
"Strongly Agree",36,"Democrat","College degree",12,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",63,"Democrat","High school",5,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",63,"Republican","College degree",30,"Strongly Approve","Not Real At All"
"Strongly Agree",55,"Independent","High school",1,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",56,"Republican","College degree",1,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",54,"Democrat","College degree",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",50,"Independent","College degree",30,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",65,"Independent","Graduate degree",10,"Somewhat disapprove","Real but not Caused by People"
"Somewhat Agree",73,"Democrat","College degree",200,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",44,"Independent","Some college",6,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",65,"Republican","Graduate degree",7,"Strongly Approve","Real and Caused by People"
"Somewhat Disagree",25,"Independent","Some college",124,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",53,"Republican","College degree",1,"Strongly disapprove","Real but not Caused by People"
"Strongly Disagree",30,"Independent","College degree",15,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",73,"Independent","Some college",8,"Strongly Approve","Not Real At All"
"Strongly Agree",56,"Democrat","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Independent","Graduate degree",5,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",60,"Republican","Other",0,"Somewhat disapprove","Real but not Caused by People"
"Somewhat Disagree",19,"Independent","Some college",5,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",35,"Democrat","Graduate degree",50,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",31,"Republican","College degree",10,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",31,"Independent","College degree",5,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",62,"Independent","High school",1,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",75,"Republican","High school",20,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",66,"Democrat","College degree",30,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",58,"Independent","Graduate degree",4,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",47,"Republican","Some college",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",18,"Republican","High school",4,"Strongly Approve","Not Real At All"
"Strongly Disagree",34,"Republican","High school",1,"Strongly Approve","Not Real At All"
"Strongly Agree",63,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",28,"Republican","Some college",0,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",36,"Democrat","Graduate degree",8,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",32,"Independent","High school",18,"Somewhat Approve","Real and Caused by People"
"Somewhat Disagree",55,"Independent","Some college",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",72,"Republican","College degree",6,"Strongly Approve","Real and Caused by People"
"Strongly Agree",31,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",41,"Democrat","High school",0,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",48,"Republican","High school",2,"Strongly Approve","Not Real At All"
"Strongly Agree",86,"Independent","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",53,"Democrat","College degree",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",74,"Independent","High school",50,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",33,"Independent","College degree",1000,"Strongly Approve","Not Real At All"
"Somewhat Agree",78,"Republican","Some college",0,"Somewhat Approve","Not Real At All"
"Somewhat Agree",45,"Republican","College degree",20,"Strongly Approve","Not Real At All"
"Somewhat Agree",41,"Democrat","High school",1,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",76,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Republican","College degree",3,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",48,"Independent","Graduate degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",46,"Independent","Some college",1,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",50,"Republican","Graduate degree",10,"Strongly Approve","Not Real At All"
"Somewhat Agree",48,"Republican","College degree",20,"Strongly Approve","Not Real At All"
"Strongly Agree",54,"Independent","Graduate degree",65,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",21,"Independent","Some college",3,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",48,"Independent","Graduate degree",150,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",42,"Independent","Graduate degree",12,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",50,"Independent","Some college",5,"Strongly Approve","Real and Caused by People"
"Strongly Agree",40,"Independent","Graduate degree",60,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",52,"Republican","Some college",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",37,"Independent","College degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","College degree",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",27,"Democrat","High school",3,"Neither approve nor disapprove","Real and Caused by People"
"Somewhat Agree",43,"Independent","Some college",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",28,"Republican","Graduate degree",16,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",80,"Democrat","High school",25,"Strongly disapprove","Not Real At All"
"Somewhat Agree",68,"Republican","Graduate degree",3,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",36,"Independent","Graduate degree",12,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",53,"Republican","Graduate degree",35,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",38,"Democrat","Other",10,"Somewhat disapprove","Real and Caused by People"
"Somewhat Disagree",37,"Republican","College degree",10,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",42,"Independent","Some college",20,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",24,"Republican","Some college",10,"Strongly Approve","Real and Caused by People"
"Strongly Agree",50,"Democrat","College degree",2,"Strongly disapprove","Not Real At All"
"Strongly Agree",53,"Republican","Graduate degree",7,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",30,"Independent","Other",20,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",20,"Democrat","Some college",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",67,"Republican","Some college",4,"Strongly Approve","Not Real At All"
"Strongly Agree",18,"Republican","High school",3,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",34,"Democrat","Graduate degree",60,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Democrat","High school",20,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",25,"Democrat","Some college",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",56,"Republican","Graduate degree",4,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",50,"Republican","High school",1,"Strongly Approve","Not Real At All"
"Strongly Agree",61,"Democrat","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",34,"Independent","Some college",0,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",55,"Republican","Graduate degree",5,"Strongly Approve","Not Real At All"
"Strongly Agree",25,"Independent","High school",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",19,"Republican","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",70,"Independent","Graduate degree",1,"Somewhat Approve","Not Real At All"
"Somewhat Agree",28,"Independent","Some college",1,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",35,"Independent","Graduate degree",10,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",27,"Independent","College degree",8,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",48,"Independent","Some college",5,"Strongly Approve","Not Real At All"
"Strongly Agree",50,"Democrat","College degree",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",30,"Independent","Graduate degree",50,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",35,"Democrat","Other",8,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",22,"Democrat","College degree",6,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",40,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",70,"Independent","High school",10,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",46,"Independent","College degree",24,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Independent","Some college",6,"Strongly disapprove","Real and Caused by People"
"Neither Agree nor Disagree",36,"Republican","College degree",15,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",66,"Republican","College degree",10,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",71,"Democrat","Some college",100,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",25,"Independent","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",69,"Republican","Some college",2,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",29,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",60,"Republican","College degree",15,"Strongly Approve","Real and Caused by People"
"Somewhat Disagree",70,"Democrat","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","College degree",2,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",30,"Republican","College degree",25,"Neither approve nor disapprove","Real but not Caused by People"
"Somewhat Agree",63,"Republican","Graduate degree",24,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",51,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",56,"Republican","High school",3,"Strongly Approve","Real and Caused by People"
"Strongly Agree",62,"Democrat","Graduate degree",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",46,"Democrat","Some college",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",83,"Republican","High school",12,"Strongly Approve","Not Real At All"
"Strongly Agree",48,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",54,"Independent","Some college",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Democrat","College degree",0,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",62,"Republican","College degree",125,"Strongly Approve","Real and Caused by People"
"Strongly Agree",68,"Democrat","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",40,"Democrat","College degree",10,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",53,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",85,"Democrat","Graduate degree",5,"Strongly disapprove","Not Real At All"
"Strongly Agree",55,"Democrat","Some college",0,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",52,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",68,"Republican","College degree",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",59,"Democrat","College degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",25,"Democrat","High school",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",57,"Republican","Some college",60,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",72,"Independent","High school",20,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",66,"Independent","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",49,"Independent","Some college",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",44,"Independent","High school",3,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",58,"Republican","High school",0,"Strongly Approve","Not Real At All"
"Strongly Agree",55,"Democrat","High school",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Republican","High school",2,"Somewhat Approve","Not Real At All"
"Strongly Agree",34,"Independent","Graduate degree",30,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",47,"Independent","High school",0,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",38,"Democrat","College degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",31,"Democrat","High school",2,"Somewhat disapprove","Real but not Caused by People"
"Somewhat Disagree",49,"Democrat","Some college",10,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",52,"Independent","Some college",2,"Neither approve nor disapprove","Not Real At All"
"Strongly Agree",63,"Independent","Graduate degree",50,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",26,"Democrat","High school",50,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",43,"Independent","College degree",20,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",19,"Independent","Some college",5,"Somewhat disapprove","Real and Caused by People"
"Strongly Disagree",22,"Republican","Graduate degree",0,"Neither approve nor disapprove","Not Real At All"
"Somewhat Agree",39,"Independent","College degree",5,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",65,"Independent","Some college",0,"Somewhat Approve","Not Real At All"
"Somewhat Disagree",35,"Democrat","Graduate degree",8,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",40,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",18,"Democrat","Some college",25,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",59,"Democrat","Graduate degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",58,"Democrat","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",61,"Independent","Some college",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",64,"Independent","Some college",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Republican","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Independent","College degree",12,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",60,"Independent","Graduate degree",150,"Strongly Approve","Not Real At All"
"Strongly Agree",60,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",44,"Republican","College degree",3,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",22,"Independent","College degree",20,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",56,"Independent","Graduate degree",2,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",52,"Independent","Graduate degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Democrat","High school",5,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",45,"Democrat","High school",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",52,"Independent","Graduate degree",20,"Strongly Approve","Real and Caused by People"
"Strongly Agree",63,"Independent","Some college",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",49,"Democrat","College degree",3,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",19,"Independent","Some college",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",70,"Democrat","College degree",60,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Democrat","Graduate degree",50,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",40,"Independent","Graduate degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",41,"Independent","College degree",7,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",50,"Independent","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",83,"Republican","High school",3,"Strongly Approve","Real and Caused by People"
"Strongly Disagree",53,"Independent","College degree",1,"Strongly Approve","Real and Caused by People"
"Strongly Disagree",68,"Independent","Graduate degree",4,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",60,"Independent","Some college",6,"Strongly disapprove","Real and Caused by People"
"Somewhat Disagree",58,"Republican","Graduate degree",10,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",53,"Democrat","Some college",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",26,"Independent","High school",3,"Somewhat disapprove","Not Real At All"
"Strongly Disagree",58,"Democrat","High school",0,"Strongly disapprove","Not Real At All"
"Strongly Agree",37,"Independent","College degree",120,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",52,"Independent","Graduate degree",4,"Strongly Approve","Not Real At All"
"Strongly Agree",56,"Democrat","High school",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",50,"Republican","Some college",0,"Strongly Approve","Not Real At All"
"Strongly Agree",47,"Democrat","College degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",55,"Republican","High school",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",55,"Independent","College degree",3,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",61,"Republican","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Independent","Some college",4,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",54,"Republican","Some college",15,"Strongly Approve","Real and Caused by People"
"Strongly Agree",52,"Democrat","Some college",200,"Somewhat disapprove","Real but not Caused by People"
"Somewhat Disagree",71,"Republican","Some college",16,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",58,"Republican","High school",3,"Strongly Approve","Real but not Caused by People"
"Strongly Disagree",40,"Democrat","Some college",100,"Strongly disapprove","Not Real At All"
"Strongly Agree",59,"Democrat","High school",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Democrat","Graduate degree",225,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",38,"Independent","College degree",20,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",64,"Democrat","Some college",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",59,"Democrat","Graduate degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",29,"Democrat","Some college",3,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",65,"Republican","High school",2,"Strongly disapprove","Not Real At All"
"Strongly Agree",52,"Republican","Some college",2,"Strongly Approve","Not Real At All"
"Somewhat Agree",40,"Republican","High school",13,"Strongly Approve","Not Real At All"
"Strongly Agree",52,"Independent","High school",0,"Strongly disapprove","Not Real At All"
"Strongly Agree",56,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Republican","High school",0,"Somewhat Approve","Not Real At All"
"Strongly Agree",63,"Democrat","Graduate degree",12,"Strongly disapprove","Real but not Caused by People"
"Strongly Agree",59,"Democrat","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",56,"Republican","Graduate degree",20,"Somewhat Approve","Not Real At All"
"Somewhat Agree",61,"Republican","Some college",17,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",57,"Independent","Some college",2,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",57,"Independent","Graduate degree",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",49,"Independent","College degree",0,"Somewhat Approve","Not Real At All"
"Somewhat Agree",72,"Republican","High school",2,"Strongly Approve","Not Real At All"
"Strongly Agree",68,"Democrat","Graduate degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",60,"Republican","Graduate degree",10,"Strongly Approve","Not Real At All"
"Somewhat Agree",63,"Independent","College degree",30,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",46,"Republican","Some college",25,"Strongly Approve","Not Real At All"
"Somewhat Disagree",39,"Independent","Graduate degree",1000,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",50,"Independent","High school",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",88,"Independent","College degree",0,"Neither approve nor disapprove","Real but not Caused by People"
"Strongly Agree",31,"Republican","College degree",4,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",45,"Democrat","High school",0,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",30,"Democrat","High school",2,"Strongly Approve","Real and Caused by People"
"Strongly Agree",64,"Republican","High school",20,"Strongly Approve","Real and Caused by People"
"Somewhat Agree",32,"Democrat","Some college",30,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",42,"Independent","College degree",3,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",70,"Independent","Some college",4,"Strongly Approve","Not Real At All"
"Strongly Agree",69,"Democrat","Graduate degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",51,"Independent","Some college",0,"Strongly Approve","Real but not Caused by People"
"Neither Agree nor Disagree",64,"Independent","Some college",3,"Strongly Approve","Not Real At All"
"Somewhat Disagree",49,"Republican","Graduate degree",3,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",34,"Democrat","College degree",8,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",50,"Republican","College degree",50,"Neither approve nor disapprove","Not Real At All"
